dialect	pos	standard
거시르다	동사	거스르다
거우	명사	거위
검부재	명사	검부저기
게	명사	겨
게다	동사	괴다
게롭다	형용사	괴롭다
게릅다	형용사	괴롭다
게와	명사	기와
게울	명사	거울
게울	명사	겨울
게으름배이	명사	게으름뱅이
게짝	명사	궤짝
겡영	명사	경영
겨드랭이	명사	겨드랑이
겨란	명사	계란
겨론	명사	결혼
고달푸다	형용사	고달프다
고동	명사	다슬기
고두어	명사	고등어
고둥에	명사	고등어
고드룸	명사	고드름
고스란이	부사	고스란히
고심도치	명사	고슴도치
고얌	명사	고욤
고얭이	명사	고양이
고푸다	형용사	고달프다
곡석	명사	곡식
골짜구니	명사	골짜기
곰파이	명사	곰팡이
광이	명사	괭이
광지리	명사	광주리
괴	명사	궤
괴기	명사	고기
괴이다	동사	괴다
굄	명사	고욤
구녁	명사	구멍
구녕	명사	구멍
구더이	명사	구덩이
구데이	명사	구덩이
구디기	명사	구더기
구러이	명사	구렁이
구루	명사	그루
구멍까게	명사	구멍가게
구신	명사	귀신
구태어	부사	구태여
국시	명사	국수
굽다	형용사	굵다
굿재이	명사	무당
궁딩이	명사	궁둥이
귀뚜래미	명사	귀뚜라미
귀뜨라미	명사	귀뚜라미
그니	명사	그네
그따우	대명사	그따위
그따우	관형사	그따위
그려	감탄사	그래
그루테기	명사	그루터기
그륵	명사	그릇
그름자	명사	그림자
그머리	명사	거머리
그뭄께	명사	그믐께
그지	명사	거지
근네	명사	그네
금빙이	명사	굼벵이
금저리	명사	거머리
기	명사	게
기걸이	명사	귀걸이
기뚜라미	명사	귀뚜라미
기뚜래미	명사	귀뚜라미
기뜨라미	명사	귀뚜라미
기려기	명사	기러기
기리	명사	귀리
기맥히다	형용사	기막히다
기밀	명사	귀리
기신	명사	귀신
김장	명사	간장
깃구멍	명사	귓구멍
까끄다	동사	깎다
까딱하문	부사	까딱하면
까락지	명사	가락지
까마기	명사	까마귀
까스락	명사	가시랭이
까시	명사	가시
까재	명사	가재
까정	조사	까지
까지	명사	가지
까치바늘	명사	도깨비바늘
깍대기	명사	깍두기
깍뒤기	명사	깍두기
깔보	명사	갈보
깜배기	명사	깜부기
깜뵈기	명사	깜부기
깨골깨골	부사	개굴개굴
깨구래기	명사	개구리
깨굴깨굴	부사	개굴개굴
깨굴창	명사	개울
깨꿈	명사	개암
깨암	명사	개암
꺼떡하면	부사	까딱하면
꺼리끼다	동사	거리끼다
꺼적눈	명사	거적눈
꺼지	조사	까지
꼬갱이	명사	고갱이
꼬다	동사	고다
꼬랑댕이	명사	꼬랑이
꼬랭이	명사	꼬랑이
꼬매다	동사	꿰매다
꼬재이	명사	꼬챙이
꼬재이	명사	고쟁이
꼬쟁이	명사	꼬챙이
꼭깽이	명사	곡괭이
꼭다리	명사	꼭지
꼴때기	명사	꼴뚜기
꼼보	명사	곰보
꽁	명사	꿩
꽁대이	명사	꼬랑이
꽁댕이	명사	꼬랑이
꽂감	명사	곶감
꽃보우리	명사	꽃봉오리
꽃봉우리	명사	꽃봉오리
꽤이	명사	괭이
꾀	부사	꽤
꾀뚫다	동사	꿰뚫다
꾸리다	형용사	구리다
꾸매다	동사	꿰매다
꾸정물	명사	뜨물
꿀뚝	명사	굴뚝
꿉다	동사	굽다
뀌다	동사	꿰다
뀌미	명사	꾸미
끄내끼	명사	끈
끄럼	명사	그을음
끄스름	명사	그을음
끄시럼	명사	그을음
끄시름	명사	그을음
끌	명사	끼니
끼마구	명사	까마귀
나댕기다	동사	나다니다
나락	명사	벼
나막개	명사	나막신
나바이	명사	나방
나시	명사	냉이
나잇갑	명사	나잇값
나지오	명사	라디오
남기	명사	나무
남새이	명사	자라
낭기	명사	나무
내겁다	형용사	냅다
냇갈	명사	냇가
냇내	명사	내
넉	명사	넋
넘	명사	남
노내기	명사	노래기
노느다	동사	나누다
노랑자	명사	노른자위
노린재	명사	노른자위
노오락지	명사	노오라기
노울	명사	노을
노푸다	형용사	높다
놋그럭	명사	놋그릇
뇦이다	동사	높이다
누렁지	명사	누룽지
누예	명사	누에
눈그석	명사	눈구석
눈까죽	명사	눈꺼풀
눈깜다	동사	눈감다
눈마울	명사	눈망울
눼	명사	누에
느	관형사	네
늘궇다	동사	늘리다
니비다	동사	누비다
다디미돌	명사	다듬잇돌
다디미질	명사	다듬이질
다리다	형용사	다르다
다마내기	명사	양파
다비	명사	양말
단님	명사	대님
단초	명사	단추
달기알	명사	달걀
달레이	명사	달래
달리다	동사	달래다
달비	명사	양말
당나기	명사	당나귀
대레미	명사	다리미
대와	명사	대하
대접	명사	다래끼
대정간	명사	대장간
대쪼각	명사	댓조각
대화	명사	대하
댄장	명사	된장
댐	명사	다음
댓매디	명사	대의 마
더우	명사	더위
데따	부사	도리어
데임	명사	대님
덴마	명사	전마선
뎅이다	동사	동이다
도꾸	명사	도끼
도랭이	명사	도롱이
도로깨	명사	도리깨
도루깨	명사	도리깨
도르깨	명사	도리깨
도리여	부사	도리어
도리혀	부사	도리어
도매뱀	명사	도마뱀
도지	명사	도끼
돌돌	감탄사	오래오래
돌메이	명사	돌멩이
돌쪼구	명사	돌쩌귀
동상	명사	동생
동세	명사	동서
돛	명사	덫
되려	부사	도리어
되미	명사	도미
두디리기	명사	두드러기
두럽다	형용사	두렵다
두렝이	명사	두렁이
두루막	명사	두루마기
두루박	명사	두레박
두우리	명사	둥우리
둥구리	명사	둥우리
둥그럽다	형용사	둥그렇다
드럽다	형용사	더럽다
드어리	명사	등
디	명사	뒤
디다보다	동사	들여다보다
딜이다보다	동사	들여다보다
딤배	명사	담배
따다	동사	가르다
따듬다	동사	다듬다
따디미질	명사	다듬이질
따루다	동사	따르다
따바리	명사	똬리
따뱅이	명사	똬리
딸	명사	딸기
딸구	명사	딸기
땅가아지	명사	땅강아지
땅개비	명사	방아깨비
땅금	명사	땅거미
땡기다	동사	당기다
떡갈낭구	명사	떡갈나무
떤지다	동사	던지다
또뱅이	명사	똬리
똘배	명사	돌배
똥깔보	명사	똥갈보
뚜껍다	형용사	두껍다
뜨물	명사	진딧물
뜸비기	명사	뜸부기
띠다	동사	떼다
마구간	명사	외양간
마누래	명사	마누라
마대이	명사	마당
마리	명사	마루
마아지	명사	망아지
마은	수·관	마흔
마지	명사	망아지
막	명사	넉동
말기다	동사	말리다
말기다	동사	말리다
말씸	명사	말씀
매럽다	형용사	마렵다
머스마	명사	사내아이
머스매	명사	사내아이
머시마	명사	사내아이
머에	명사	멍에
먼처	명사	먼저
먼처	부사	먼저
멋자이	명사	멋쟁이
멋재이	명사	멋쟁이
메	명사	뫼
메끄럽다	형용사	매끄럽다
메나리	명사	며느리
메누리	명사	며느리
메떼기	명사	메뚜기
메뛰기	명사	메뚜기
메루치	명사	멸치
메칠	명사	며칠
멕히다	동사	먹히다
멘도	명사	면도
멧	수사	몇
멧	관형사	몇
멧남새	명사	멧나물
멧대지	명사	멧돼지
멧자리	명사	묏자리
멩매기	명사	명매기
멫	수사	몇
멫	관형사	몇
모개	명사	모과
모루	명사	머루
모리	명사	모루
모시	명사	모이
모투이	명사	모퉁이
목젓	명사	목젖
목하씨	명사	목화씨
몯다	동사	모으다
몰개	명사	모래
몰르다	동사	모르다
몰살	명사	몸살
몸뗑이	명사	몸뚱이
몸쌀	명사	몸살
몽에	명사	멍에
무동	명사	목말
무수이파리	명사	무청
무수잎새	명사	무청
묵은시배	명사	묵은세배
문데이	명사	문둥이
