dialect	pos	standard
뭉께지다	동사	묶이다
뭉꿈	명사	묶음
뭉뎅이	명사	몽둥이
뭉돌	명사	바닷가에 있는 주먹 크기만 한 딱딱하고 검은 
뭉디이	명사	문둥이
뭉딩이	명사	문둥이
뭉뗑이	명사	뭉텅이
뭉뚱	부사	뭉떵
뭉뚱구리다	동사	뭉뚱그리다
뭉뚱뭉뚱	부사	뭉떵뭉떵
뭉뚱뭉뚱하다	형용사	뭉떵뭉떵하다
뭉뚱하다	형용사	뭉떵하다
뭉뚱허다	형용사	뭉뚝하다
뭉생이	명사	버무리떡
뭉셍이	명사	버무리떡
뭉수리	명사	버무리떡
뭉숭이	명사	버무리떡
뭉시르허다	형용사	뭉실하다
뭉우	명사	무
뭉장군	명사	물장군
뭉주리	부사	모조리
뭉지	명사	먼지
뭉치다	동사	훔치다
뭉치미	명사	뭉치
뭉침허다	형용사	묵직하다
뭉캐다	동사	뭉개다
뭉캐지다	동사	뭉그러지다
뭉케다	동사	뭉개다
뭉쿠다	동사	묶다
뭉크리다	동사	뭉그러지다
뭉키다	동사	묶이다
뭉터리	명사	뭉텅이
뭉터이	명사	뭉텅이
뭉턱돈	명사	뭉칫돈
뭉테기	명사	뭉치
뭉테기	명사	뭉텅이
뭉테이	명사	뭉텅이
뭉툭돈	명사	뭉칫돈
뭉퉁	부사	뭉텅
뭉퉁곰배	명사	곰방메
뭉퉁뭉퉁	부사	뭉텅뭉텅
뭉퉁뭉퉁하다	형용사	뭉텅뭉텅하다
뭉퉁하다	형용사	뭉툭하다
뭉퉁하다	형용사	뭉텅하다
뭉티	명사	뭉텅이
뭉티기	명사	뭉텅이
뭉티이	명사	뭉텅이
뭉팅이	명사	뭉텅이
뭉포레나무	명사	물푸레나무
뭐라카다	동사	나무라다
뭐심	명사	머슴
뭐이	명사	뫼
뭐잇자리	명사	묏자리
뭥개	명사	맹감
뭬	명사	뫼
뭬터	명사	묏자리
뮈	명사	무
뮈고자리	명사	무말랭이
뮈꽁다리	명사	장다리무
뮈섭다	형용사	무섭다
뮈시다	동사	모시다
뮈이파리	명사	무청
뮈잎사리	명사	무청
뮈터	명사	묏자리
뮉이다	동사	묵히다
뮉히다	동사	먹히다
뮝끼다	동사	묶이다
므석하다	형용사	무엇하다
므슨	관형사	무슨
믁지	명사	송사리
믄서	어미	-면서
믈믈하다	동사	기억이 잘 나지 않
믐	명사	머슴
미	명사	모이
미	명사	노
미	명사	매
미	명사	메
미	명사	메
미	어미	-며
미감	명사	귤
미거럼타기	명사	썰매질
미거리	명사	멱서리
미거지	명사	메기
미검	명사	먼지
미겨	명사	참먹이
미구	명사	여우
미구녕	명사	밑구멍
미구도적	명사	여우
미구라지	명사	미꾸라지
미구무	명사	밑구멍
미굼	명사	먼지
미그럽다	형용사	미끄럽다
미그지	명사	메기
미근덕거리다	동사	미적거리다
미근덕미근덕	부사	미적미적
미기	명사	미끼
미기다	동사	매기다
미기다	동사	보리타작을 할 때, 소리를 메기면서 타작꾼들에게 보릿대를 알맞게 갈라 주
미까랍다	형용사	미끄럽다
미까랑댕이	명사	미꾸라지
미까십다	형용사	밉상스럽다
미깔맞다	형용사	밉광스럽다
미깔스럽다	형용사	밉살스럽다
미깔시럽다	형용사	밉상스럽다
미깔시룹다	형용사	밉광스럽다
미깜	명사	미끼
미깝	명사	미끼
미깟	명사	미끼
미깡구	명사	미끼
미꺼리	명사	멱서리
미꼬라미	명사	미꾸라지
미꼬락지	명사	미꾸라지
미꼬랑치	명사	미꾸라지
미꼬래	명사	미꾸라지
미꼬래미	명사	미꾸라지
미꼬리	명사	미꾸라지
미꼴라지	명사	미꾸라지
미꼴래이	명사	미꾸라지
미꼴리	명사	미꾸라지
미꽈리시럽다	형용사	밉살스럽다
미꽐시럽다	형용사	밉살스럽다
미꽝이	명사	밀감
미꾸다	동사	지우다
미꾸라이	명사	미꾸라지
미꾸라지국	명사	미꾸라짓국
미꾸락대기	명사	미꾸라지
미꾸랑지	명사	미꾸라지
미꾸랑치	명사	미꾸라지
미꾸래	명사	미꾸라지
미꾸래기	명사	미꾸라지
미꾸래미	명사	미꾸라지
미꾸래이	명사	미꾸라지
미꾸래지	명사	미꾸라지
미꾸랭이	명사	미꾸라지
미꾸뭉	명사	밑구멍
미꾸정	명사	밑구멍
미꿈	명사	항문
미꿈하다	형용사	미끈하다
미끄라지다	동사	미끄러지다
미끄락지	명사	미꾸라지
미끄랍다	형용사	미끄럽다
미끄럼판	명사	썰매
미끄레지다	동사	미끄러지다
미끄룹다	형용사	미끄럽다
미끄르허다	형용사	미끈하다
미끄름	명사	미끄럼
미끄리	명사	미꾸라지
미끄리하다	형용사	미끈둥하다
미끈	명사	밀삐
미끈덕허다	형용사	미끈둥하다
미끈덩하다	형용사	미끈둥하다
미끌리다	동사	미끄러지다
미끌치다	동사	미끄러뜨리다
미끔하다	형용사	미끈하다
미끔허다	형용사	미끈하다
미끼	명사	이끼
미끼다	동사	내키다
미끼러지다	동사	미끄러지다
미끼럼	명사	미끄럼
미끼룹다	형용사	미끄럽다
미끼릅다	형용사	미끄럽다
미끼리	명사	미꾸라지
미낀미낀	부사	미끈미끈
미낀미낀하다	형용사	미끈미끈하다
미나리새미	명사	며느리고금
미나리심	명사	며느리고금
미난지	명사	미나리
미내리	명사	미나리
미너리	명사	며느리
미녁	명사	미역
미누리고굼	명사	며느리고금
미느라미	명사	민들레
미느리심	명사	며느리고금
미늘	명사	며느리
미니	명사	미늘
미니리	명사	며느리
미니미니	부사	민둥민둥
미니미니허다	형용사	민둥민둥하다
미다	동사	무이다
미다시	명사	미닫이
미닫이	명사	서랍
미더기	명사	도끼
미데기	명사	해일
미도아리	명사	묏자리
미동치기	명사	계간
미둥	명사	목말
미드리	명사	미투리
미득새	명사	억새
미등강	명사	봉분
미떠	명사	메뚜기
미떠기	명사	메뚜기
미떼기뽂음	명사	메뚜기볶음
미떼기치기	명사	자치기
미뚜기	명사	자치기를 할 때 쓰는 작은 막대기. 양 끝을 서로 반대 방향으로 비스듬하게 깎아 긴 막대기로 치면 튀어 오르게 만든
미뚜기뽂음	명사	메뚜기볶음
미뚜기치기	명사	자치기
미뚜리	명사	미투리
미뜰다	동사	밀뜨리다
미뜽	명사	뫼
미띠	명사	느치
미띠	명사	메뚜기
미띠기	명사	자치기
미띠기뽂음	명사	메뚜기볶음
미띠기치기	명사	자치기
미라지	명사	매미
미래치	명사	멸치
미랫대	명사	고무래
미랫대당글개	명사	고무래
미러기	명사	해일
미러꾸다	동사	나무라다
미러치	명사	멸치
미럭곰차두	명사	미련퉁이
미럭돼지	명사	미련퉁이
미럭둥이	명사	미련퉁이
미럭등이	명사	미련퉁이
미럭미럭	부사	미루적미루적
미럭미럭하다	동사	미루적미루적하다
미럭바우	명사	미련퉁이
미럭퉁이	명사	미련퉁이
미런	명사	미련
미런둥이	명사	미련퉁이
미런반펭이	명사	미련퉁이
미런시롭다	형용사	미련스럽다
미런탱이	명사	미련퉁이
미런허다	형용사	미련하다
미레	명사	고무래
미레지다	형용사	묽어지다
미렛당그레	명사	고무래
미렛당글개	명사	고무래
미렛대	명사	고무래
미련곰탱이	명사	미련퉁이
미련곰퉁이	명사	미련퉁이
미련받다	형용사	미련하다
미련시리	부사	미련스레
미련타	형용사	미련하다
미련탱이	명사	미련퉁이
미로	명사	모루채
미롱지	명사	미농지
미루	명사	머루
미루꾸	명사	멸치
미루치	명사	멸치
미룩미룩허다	동사	미루적미루적하다
미룸하다	동사	미루다
미르개	명사	고무래
미르기	명사	미륵
미르다	동사	밀다
미리	명사	종개
미리	명사	용
미리	명사	고무래
미리기	명사	미륵
미리다	동사	밀다
미리지	명사	떡
미리창	명사	미닫이
미마지	명사	피마자
미명베	명사	무명베
미물	명사	메밀
미물묵	명사	메밀묵
미물벌	명사	땅벌
미미	명사	구석구석
미밋게	명사	겨
미봉허다	형용사	무방하다
미비때리다	동사	싸잡다
미빵	명사	밀삐
미뿌랑	명사	산의 끝자
미뿌리이	명사	산의 끝자
미사리	명사	바보
미사지다	동사	메다
미서껍다	형용사	메스껍다
미서끄럽다	형용사	메스껍다
미섯질	명사	미세기
미성전	명사	성인이 되기 
미셥다	형용사	무섭다
미수다	동사	메우다
미수다	동사	지우다
미숩다	형용사	무섭다
미숫갈	명사	미숫가루
미숫갈그	명사	미숫가루
미슥거리다	동사	메슥거리다
미승거리다	동사	메슥거리다
미승대다	동사	메슥대다
미승미승	부사	메슥메슥
미승미승하다	동사	메슥메슥하다
미시껍다	형용사	메스껍다
미시다	동사	모시다
미시리	명사	바보
미시매	명사	사내아이
미식거리다	형용사	매슥거리다
미식기리다	동사	메슥거리다
미식대다	동사	메슥대다
미식미식	부사	메슥메슥
미식미식하다	동사	매슥매슥하다
미식미식허다	형용사	메슥메슥하다
미신	명사	짚신
미심질	명사	미심결
미싯가리	명사	미숫가루
미싯갈그	명사	미숫가루
미싯갈기	명사	미숫가루
미싱거리다	동사	메슥거리다
미싱기리다	동사	메슥거리다
미싱대다	동사	메슥대다
미싱미싱	부사	메슥메슥
미싱미싱하다	동사	메슥메슥하다
미싱하다	형용사	메스껍다
미쌀맞다	형용사	밉살맞다
미쌀스럽다	형용사	밉살스럽다
미쓸다	동사	밀치다
미씰다	동사	밀치다
미아이	부사	미안히
미안시럽다	형용사	미안스럽다
미안시리	부사	보기에 남에게 대하여 마음이 편치 못하고 부끄러운 데가 있
미안타	형용사	미안하다
미알시럽다	형용사	밉살스럽다
미알시롭다	형용사	얄밉다
미암	명사	매미
미야까	명사	리어카
미약	명사	미역
미얀마재비	명사	버마재비
미얄스럽다	형용사	얄밉다
미얄시럽다	형용사	얄밉다
미얄지다	형용사	얄밉상스럽다
미얌	명사	매미
미양	부사	마냥
미엉	명사	나막신
미엉배	명사	무명
미에기	명사	메기
미에다	동사	매이다
미역기	명사	미역귀
미역꼬다리	명사	미역귀
미역꼭다리	명사	미역귀
미역꾸다리	명사	미역귀
미염	명사	미숫가루
미염	명사	미음
미영	명사	면화
미영	명사	명
미영꼬물	명사	명
미영꼬타리	명사	면화
미영꼿	명사	목화
미영다래	명사	다래
미영다리	명사	목홧대
미영방울	명사	목화송이
미영새	명사	박새
미영쇵이	명사	목화송이
미영숭어리	명사	목화송이
미영슁이	명사	목화송이
미영시	명사	무명씨
미영쑹어리	명사	목화
미영쓍이	명사	목화
미영타다	동사	면화에서 씨를 빼내
미오기	명사	메기
미우	명사	아가미
미우다	동사	무이다
미우다	동사	지우다
미유기	명사	메기
미은들레미	명사	민들레
미은장	명사	면장
미응꼬타리	명사	면화
미응씨	명사	무명씨
미이다	동사	먹이다
미잉	명사	무명
미자바리	명사	미주알
미자쓰	명사	메리야스
미젓	명사	멸치젓
미정개	명사	밑씻개
미조비	명사	메조
미주등거리	명사	메줏덩어리
미주리	명사	미주알
미주바리	명사	밑구멍
미주아리	명사	미주알
미주와리	명사	미주알
미주콩	명사	메주콩
미죽	명사	메조
미줏뎅이	명사	메줏덩이
미줏딩이	명사	메줏덩이
미지	명사	메주
미지	명사	메조
미지거리하다	형용사	미지근하다
미지그리하다	형용사	미지근하다
미지기	명사	묘지기
미지다	동사	미어지다
미지바리	명사	미주알
미지부리기	명사	밀기울
미지울	명사	밀기울
미지통	명사	자물쇠
미쭛하다	형용사	미쭉하다
미차	부사	미처
미차	부사	미처
미창문	명사	미닫이문
미척미척	부사	미적미적
미척이다	동사	미적거리다
미추갱이	명사	미치광이
미추과이	명사	미치광이
미추기	명사	못난이
미추래이	명사	메추라기
미추렇다	형용사	미추룸하다
미추리	명사	못난이
미춘강이	명사	미치광이
미춘광이	명사	미치광이
미취개이	명사	미치광이
미치	명사	멸치
미치	부사	미처
미치개이	명사	미치광이
미치과이	명사	미치광이
미치굉이	명사	미치광이
미치다	동사	메어치다
미치미치하다	형용사	정신이 미친 듯하
미치적거리다	동사	미적거리다
미치적미치적	부사	미적미적
미친개이	명사	미치광이
미친갱이	명사	미치광이
미친광이	명사	미치광이
미친굉이	명사	미치광이
미친눔	명사	미친놈
미친배기	명사	미치광이
미친지랄	명사	개지랄
미칟날	명사	며칟날
미쿠다	동사	지우다
미클다	동사	밀다
미키다	동사	메꾸다
미키다	동사	지우다
미키하다	형용사	느끼하다
미키하다	형용사	비릿하고 메스껍
미타리	명사	미투리
미터	명사	묏자리
미터리	명사	미투리
미터지다	동사	미어터지다
미털	명사	미투리
미털다	동사	밀치다
미테	명사	묏자리
미투기	명사	메뚜기
미투라지	명사	미투리
미투리틀	명사	신틀
미트다	동사	밀치다
미트러지다	동사	미끄러지다
미틀	명사	미투리
미틀다	동사	밀뜨리다
미티기	명사	메뚜기
미하다	형용사	아름답다
믹	명사	목
믹	명사	미역
믹국	명사	미역국
믹디기	명사	멱서리
믹사리	명사	멱살
믹서리	명사	멱서리
믹이다	동사	묵히다
믹이통	명사	모이통
믹해지다	동사	막히다
믹히다	동사	먹히다
믹히들다	동사	먹혀들다
믹히들다	동사	먹혀들다
민	어미	-면서
민감이	부사	민감히
민겅	명사	면경
민경	명사	면경
민경	명사	명경
민구시룹다	형용사	면구스럽다
민깅	명사	면경
민나리	명사	미나리
민누리	명사	며느리
민다리깨	명사	다래끼
민다지	명사	민패
민달레	명사	민들레
민대갱이	명사	민머리
민대고리	명사	민머리
민대구리	명사	민머리
민대래끼	명사	겉으로 부스럼이 드러나 보이지 않고 눈시울이 민틋하게 부어오른 다래
민도마상어	명사	개상어
민도칼	명사	면도칼
민둥바구	명사	대머리
민드기	명사	돔발상어
민드러미	명사	맨드라미
민드레미	명사	민들레
민드미	명사	돔발상어
민들래미	명사	맨드라미
민들레미	명사	민들레
민들리	명사	민들레
민들바구	명사	대머리
민들바우	명사	대머리
민디꼴부리	명사	달팽이
민레	명사	면례
민리	명사	면례
민망시리	부사	민망스레
민메누리	명사	민며느리
민목	명사	면목
민문지	명사	부침개
민물	명사	밀물
민물게기	명사	민물고기
민물고동	명사	다슬기
민물고등	명사	다슬기
민물골뱅이	명사	다슬기
민물귀기	명사	민물고기
민물기	명사	참게
민물비트리	명사	다슬기
민물새비	명사	생이
민물새우	명사	생이
민물소래	명사	다슬기
민미누리	명사	민며느리
민미하다	형용사	밍밍하다
민민하다	형용사	밋밋하다
민바우	명사	해골
민박	명사	해골
민사무소	명사	면사무소
민상	명사	면상
민상	명사	면상
민소	명사	면소
민에씨	명사	면화씨
민작지근허다	형용사	미적지근하다
민장어	명사	뱀장어
민적지근하다	형용사	미적지근하다
민절미	명사	찰떡
민줏거리	명사	걱정덩어리
민줏덩어리	명사	걱정덩어리
민지근하다	형용사	미지근하다
민칠허다	형용사	민틋하다
민트리	명사	미투리
민틀허다	형용사	털이 있어야 할 곳에 털이 없어 밋밋하
민피리	명사	모래주사
민핀허다	형용사	반반하다
민하다	동사	면하다
민화토	명사	민화투
믿음직시리	부사	믿음직스레
믿지불	명사	밀기울
밀	명사	명일
밀가다	형용사	멀겋다
밀가리	명사	밀가루
밀가리장국	명사	수제비
밀가방	명사	어깨에 메도록 멜빵이 달린 가
밀갈그	명사	밀가루
밀갈기	명사	밀가루
밀갈리	명사	밀가루
밀갛다	형용사	멀겋다
밀거다	형용사	묽다
밀게울	명사	밀기울
밀게지다	동사	묽어지다
밀겨	명사	밀기울
밀겨울	명사	밀기울
밀괄시룹다	형용사	밉살스럽다
밀구	명사	며루
밀국수	명사	칼국수
밀국수	명사	수제비
밀굴씨	명사	밀국수
밀금허다	형용사	멀겋다
밀기	명사	물결
밀기우리	명사	밀기울
밀깔싹데기	명사	칼싹두기
밀깜비	명사	밀깜부기
밀꺼	명사	고무래
밀껍지	명사	밀기울
밀꼬라지	명사	미꾸라지
밀꼬리	명사	미꾸라지
밀꾸리	명사	미꾸라지
밀내다	동사	밀어내다
밀다	동사	입조하다
밀당그레	명사	고무래
밀대	명사	밀개
밀대	명사	밀짚
밀대	명사	평미레
밀대걸레	명사	밀걸레
밀대모자	명사	밀짚모자
밀대방매이	명사	평미레
밀더더기	명사	수제비
밀데모자	명사	밀짚모자
밀디기	명사	메뚜기
밀딩기	명사	메뚜기
밀따구	명사	멸치
밀때기	명사	메뚜기
밀떡국	명사	수제비
밀뚜기	명사	메뚜기
밀뚝하다	형용사	뾰로통하다
밀띠	명사	메뚜기
밀띠기	명사	메뚜기
밀레	명사	이장
밀레	명사	고무래
밀레가다	동사	밀려가다
밀레나다	동사	밀려나다
밀레다	동사	밀리다
밀레댕기다	동사	밀려다니다
밀레들다	동사	밀려들다
밀레오다	동사	밀려오다
밀름허다	형용사	날카롭다
밀리가다	동사	밀려가다
밀리나다	동사	밀려나다
밀리대이다	동사	밀려다니다
밀리댕기다	동사	밀려다니다
밀리들다	동사	밀려들다
밀리오다	동사	밀려오다
밀망시룹다	형용사	민망스럽다
밀망팅이	명사	꼴망태
밀멜	명사	밀멸
밀베	명사	멜빵
밀부침개	명사	밀전병
밀빵	명사	멜빵
밀빵	명사	밀삐
밀사리	명사	밀을 불에 그을려 먹는 것을 이르는 
밀속가루	명사	밀기울
밀수가리	명사	미숫가루
밀수지비	명사	수제비
밀쌀스럽다	형용사	밉살스럽다
밀장국	명사	수제비
밀장이	명사	밀장지
밀저우리	명사	밀기울
밀저울	명사	밀기울
밀제비	명사	수제비
밀제빗국	명사	수제비
밀죽	명사	수제비
밀줄	명사	밀기울
밀지게미	명사	밀기울
밀지게이	명사	밀기울
밀지부리	명사	밀기울
밀지부리기	명사	밀기울
밀지부링이	명사	밀기울
밀지불	명사	밀기울
밀지우리	명사	밀기울
밀지울	명사	밀기울
밀지울밥	명사	밀기울밥
밀지을	명사	밀기울
밀짚모재	명사	밀짚모자
밀짱국	명사	수제비
밀쩌비	명사	밀국수
밀찌거러기	명사	밀기울
밀찌부리	명사	밀기울
밀챙	명사	미닫이
밀추다	동사	밀치다
밀치	명사	가숭어
밀치놓다	동사	밀쳐놓다
밀치젓	명사	멸치젓
밀카락	명사	머리카락
밀칼국	명사	칼국수
밀커덩하다	형용사	미끈둥하다
밀컹거리다	동사	미끈거리다
밀쿠다	동사	미루다
밀티	명사	메뚜기
밀포구	명사	팽나무의 열
밁다	형용사	묽다
밈	명사	미숫가루
밈물	명사	메밀
밈생이	명사	염소
밈소	명사	염소
밈장어	명사	뱀장어
밈주	명사	염주
밉괄시럽다	형용사	밉광스럽다
밉괄시룹다	형용사	밉광스럽다
밉꽐스럽다	형용사	밉살스럽다
밉보키다	동사	밉보이다
밉뵈이다	동사	밉보이다
밉뵈키다	동사	밉보이다
밉비다	동사	밉보이다
밉사이	명사	밉상
밉살시리	부사	밉살스레
밉상구디기	명사	밉상 구덩이라는 뜻으로 몹시 미운 짓을 하거나 밉게 생긴 사람을 비유적으로 이르는 
밉상시리	부사	밉상스레
밉상지기다	동사	남에게 미움을 받을 만한 말이나 행동을 하
밉생	명사	밉상
밉쪼	명사	밉상
밋	명사	뫼
밋가다	동사	밑지다
밋가새	명사	옹기 바닥을 만들 때 흙 반죽을 자르는 데에 쓰는 
밋가세	명사	도자기를 물레 성형할 때 사용되는 도구 중 하나. 물레로 도자기를 성형한 후 그 밑 부분의 불필요한 흙을 떼어 내거나 작은 도자기를 물레에서 떼어 낼 때 사용하는 것으로 주로 대나무나 무쇠로 만든
밋갑	명사	미끼
밋구넉	명사	밑구멍
밋구먹	명사	밑구멍
밋끼	명사	밑구멍
밋대지	명사	멧돼지
밋도리	명사	멱서리
밋돌	명사	맷돌
밋돼지	명사	멧돼지
밋둑	명사	뫼
밋둥거리	명사	밑동
밋등	명사	뫼
밋등걸	명사	밑동
밋바득	명사	밑바닥
밋부리	명사	멧부리
밋자리	명사	밑구멍
밋자리	명사	모루채
밋재이	명사	미장이
밋젓	명사	멸치젓
밍	명사	멍
밍	명사	명
밍	명사	명
밍감	명사	맹감
밍감나무	명사	청미래덩굴
밍감낭구	명사	청미래덩굴
밍개다	동사	뭉개다
밍개지다	동사	뭉개지다
밍게	명사	멍에
밍글거리다	동사	밉살맞게 능글거리
밍글밧	명사	아무것도 심어 놓지 않은 
밍금	명사	능금
밍긋거리다	동사	뭉긋거리다
밍긋밍긋하다	동사	뭉긋뭉긋하다
밍기다	동사	뭉개다
밍기적거리다	동사	뭉그적거리다
밍기적밍기적	부사	뭉그적뭉그적
밍기적밍기적허다	동사	뭉그적뭉그적하다
밍내기	명사	명매기
밍년	명사	명년
밍디기	명사	명매기
밍물	명사	민물
밍물소래	명사	다슬기
밍물짱어	명사	뱀장어
밍물짱에	명사	뱀장어
밍미기	명사	명매기
밍색	명사	명색
밍성	명사	명성
밍씨	명사	무명씨
밍씨백이다	동사	명씨박이다
밍연	명사	명년
밍열이	명사	명매기
밍월	명사	명월
밍주	명사	명주
밍지	명사	명주
밍지털	명사	솜털
밍충이	명사	빙충이
밑가다	동사	밑지다
밑걸금	명사	밑거름
밑구녕	명사	항문
밑구녕	명사	밑구멍
밑구늉	명사	밑구멍
밑구몽	명사	밑구멍
밑구무	명사	밑구멍
밑구뭉	명사	밑구멍
밑구역	명사	밑구멍
밑구영	명사	밑구멍
밑구정	명사	밑구멍
밑구중	명사	밑구멍
밑굼딲개	명사	밑씻개
밑궁기	명사	똥구멍
밑귀녕	명사	밑구멍
밑기다	동사	맡기다
밑닫개	명사	밑싣개
밑돌이	명사	이발
밑두바리	명사	밑동
밑둥거리	명사	밑동
밑둥구리	명사	밑둥치
밑둥이	명사	밑동
밑딲개	명사	밑씻개
밑뜸	명사	아래뜸
밑마개	명사	개짐
밑마음	명사	본마음
밑모소리	명사	밑모서리
밑모솔기	명사	밑모서리
밑바탕	명사	아내
밑벤	명사	밑변
밑싞개	명사	밑씻개
밑싸개	명사	개짐
밑엣돌	명사	밑돌
밑입소리	명사	아랫입술
밑자루	명사	밑싣개
밑자리	명사	밑알
밑자바리	명사	밑동
밑징개	명사	밑싣개
밑짜리	명사	밑알
밑판	명사	밑싣개
ㅂ니꺄	어미	-ㅂ니까
ㅂ니꺼	어미	-ㅂ니까
ㅂ니더	어미	-ㅂ니다
ㅂ디꺼	어미	-ㅂ디까
ㅂ디껴	어미	-ㅂ디까
ㅂ디더	어미	-ㅂ디다
ㅂ디여	어미	-ㅂ디까
바	명사	방
바가	명사	박하
바가미	명사	바구니
바가이	명사	바가지
바가지	의존 명사	박
바가지샴	명사	박우물
바가지시암	명사	박우물
바가지움물	명사	박우물
바가찌	명사	바가지
바가치	명사	바지랑대
바가치눈	명사	함박눈
바가치떡	명사	바가지에 쌀가루를 담고 중탕하여 만드는 떡. 똥통에 빠졌거나 천연두에 걸렸을 때 열꽃이 생기는데 그 색에 따라 팥이나 녹두로 고물을 하여 만들어 준
바가치새암	명사	박우물
바가치시암	명사	박우물
바가치우물	명사	박우물
바가치움물	명사	박우물
바가테	명사	밖
바각지	명사	바가지
바각치	명사	바가지
바강이	명사	바가지
바같	명사	바깥
바같구세	명사	한뎃뒷간
바개비	명사	바구미
바개이	명사	병아리
바갱이	명사	바가지
바거리	명사	바구니
바겉정낭	명사	한뎃뒷간
바게미	명사	바구니
바게이	명사	바가지
바고리	명사	바구니
바고리	명사	우차에 바를 거는 구부러진 고
바곰살이	명사	소꿉질
바과	명사	박하
바구꼬사리	명사	넉줄고사리
바구니	명사	보조개
바구다	동사	배기다
바구다	동사	부수다
바구다	동사	겨루다
바구다	동사	피하다
바구댕이	명사	바구니
바구리	명사	비역
바구오시	명사	이끼
바구이	명사	바구니
바군뎅이	명사	바구니
바궁이	명사	바구니
바궁지	명사	바구니
바궤미	명사	바구미
바그니	명사	바구니
바그리	명사	바구니
바그리	명사	바구미
바그미	명사	바구니
바그잡잡허다	형용사	발그스레하다
바근지	명사	바구니
바금	명사	바구미
바금좀	명사	바구미
바기미	명사	바구니
바김	명사	바구미
바까다	동사	바꾸다
바까마리	명사	소꿉질
바까재	명사	물방개
바까치기	명사	바꿔치기
바까타기	명사	바꿔타기
바깐	명사	방앗간
바깔	명사	씀바귀
바깜질	명사	소꿉질
바깟	명사	바깥
바깟문	명사	바깥문
바깟벤소	명사	한뎃뒷간
바깟사둔	명사	밭사돈
바깟칙간	명사	한뎃뒷간
바깟통세	명사	한뎃뒷간
바깟통시	명사	한뎃뒷간
바깥늘기이	명사	바깥늙은이
바깥변솟간	명사	한뎃뒷간
바깥십	명사	오입
바깥정낭	명사	한뎃뒷간
바깥쥔	명사	바깥주인
바깥칙간	명사	한뎃뒷간
바깥통세	명사	한뎃뒷간
바깨미	명사	소꿉질
바껕	명사	바깥
바껕벤소	명사	한뎃뒷간
바껕통시	명사	한뎃뒷간
바께다	동사	바뀌다
바께벤소	명사	한뎃뒷간
바꼬다	동사	바꾸다
바꼬매기	명사	소꿉질
바꼼살이	명사	소꿉질
바꼼새기	명사	소꿉질
바꽈치기	명사	바꿔치기
바꾸리	명사	바구니
바꾸매기	명사	소꿉질
바꾸미	명사	바구미
바꾸키다	동사	바꾸이다
바꿈살	명사	소꿉질
바꿈새기	명사	소꿉질
바꿈치	명사	발꿈치
바꿈치	명사	바구니
바꿈태기	명사	바구니
바꿰다	동사	바뀌다
바뀌	명사	껍질
바뀡이	명사	바퀴
바끈	명사	밧줄
바끔	명사	소꿉질
바끔사기	명사	소꿉질
바끔새기	명사	소꿉질
바끼마당	명사	바깥마당
바날	명사	바늘
바널질	명사	바느질
바네기	명사	장독소래기
바네기뜨봉	명사	장독소래기
바녀	명사	방
바녁하다	동사	거스르다
바놀	명사	바늘
바누리	명사	애꾸
바누지광지	명사	반짇고리
바눌구녕	명사	바늘구멍
바눌구영	명사	바늘구멍
바눌궁기	명사	바늘구멍
바눌귀	명사	바늘귀
바눌귀녕	명사	바늘구멍
바눌방석	명사	바늘방석
바눌질	명사	바느질
바느래	명사	땅벌
바느사리	명사	물가에 보이는 잔민물고
바느절개	명사	바늘겨레
바느질그럭	명사	반짇고리
바느질그륵	명사	반짇고리
바느질꽝우리	명사	반짇고리
바느질당새기	명사	반짇고리
바느질당서기	명사	반짇고리
바느질당서리	명사	반짇고리
바느질당세기	명사	반짇고리
바느질당세이	명사	반짇고리
바느질당시기	명사	반짇고리
바느질상지	명사	반짇고리
바느질소구리	명사	반짇고리
바느쩔개	명사	바늘겨레
바늘겨리	명사	바늘겨레
바늘구녕	명사	바늘구멍
바늘기	명사	바늘귀
바늘당새기	명사	반짇고리
바늘당세기	명사	반짇고리
바늘당시기	명사	반짇고리
바늘방시기	명사	바늘방석
바늘방식	명사	바늘방석
바늘삼	명사	바늘쌈
바늘상주	명사	반짇고리
바늘상지	명사	반짇고리
바늘쌈지	명사	바늘겨레
바늘저리	명사	바늘겨레
바늘질	명사	바느질
바니질	명사	바느질
바다골뱅이	명사	고둥
바다끼	명사	바닷게
바다리	명사	발채
바다물게기	명사	바닷물고기
바다밤송이	명사	성게
바다생선	명사	바닷물고기
바다소래고동	명사	다슬기
바닥	명사	면
바닥고동	명사	다슬기
바닥돌	명사	연자방아의 둥글고 넓적한 돌
바닥바닥	부사	바득바득
바닥세	명사	보습
바닷게기	명사	바닷고기
바닷고이기	명사	바닷고기
바닷괴기	명사	바닷물고기
바닷물괴기	명사	바닷물고기
바닷생선	명사	바닷물고기
바닷이	부사	빠듯이
바닷징게미	명사	해하
바당	명사	바닥
바당	명사	바다
바당쌔비	명사	해하
바대	명사	바다
바대	명사	바디
바대고기	명사	바닷고기
바대기	명사	바닥
바대집	명사	바디집
바대집비녀	명사	바디집비녀
바댁	명사	바닥
바댓물	명사	바닷물
바두	명사	바디
바두다	동사	다잡다
바두레	명사	바더리
바두지	명사	바디
바두질	명사	바디질
바두집	명사	바디집
바두집비네	명사	바디집비녀
바둑범	명사	표범
바둑판겉다	형용사	바둑판같다
바둑호랭이	명사	표범
바둘	명사	바둑
바둠기다	동사	안기다
바둣이	부사	바듯이
